"","Estimate","Std. Error","t value","Pr(>|t|)"
"share_impervious_10035",-0.368446287169072,0.50824594058665,-0.724936999484517,0.474107511750143
"mean_UHI_10035",-0.624412926011643,0.626340291720994,-0.996922813788564,0.32677556881124
"Mean_local_UHI_total35",-1.22115456422808,0.606070475557473,-2.01487221944749,0.0529567730057514
"Mean_veg_height35",0.776621160610456,0.539602362691121,1.43924714624537,0.160433741301992
"Mean_veg_herb35",-0.42844768942938,0.610284327392519,-0.702046030347775,0.488061933742207
"(Intercept)36",-7.77746493220626,3.34572558219797,-2.32459738287827,0.0270495383663167
"share_impervious_10036",0.514157668345662,0.528701322973128,0.972491737781777,0.338582356349823
"mean_UHI_10036",2.3530617980678,0.783086983883473,3.00485367078704,0.00532453686035325
"Mean_local_UHI_total36",-7.55513264529274,3.22924542110178,-2.33959692128789,0.0261523324121531
"Mean_veg_height36",-2.43683797473617,1.85130753940743,-1.31627939867633,0.198049153304122
"Mean_veg_herb36",-0.544541354347074,0.698101926045772,-0.780031302064293,0.441483566647219
"(Intercept)37",-17.2157789030743,5.19541810547082,-3.31364647725771,0.00241195820677556
"share_impervious_10037",-11.8971085315859,4.9048842045815,-2.42556358832552,0.0215118354885958
"mean_UHI_10037",-2.01815362001432,1.60018377224792,-1.26120115390199,0.216956051157083
"Mean_local_UHI_total37",7.45724205916905,1.82206207103618,4.09274863777183,0.000295749286298991
"Mean_veg_height37",4.71511141446352,1.94684553628475,2.42192373590233,0.0216919707398747
"Mean_veg_herb37",-0.0973488344461131,1.62211194963122,-0.0600136349826192,0.952542786547671
"(Intercept)38",0.715223040206918,0.341862149662829,2.09213871998502,0.0449903177438706
"share_impervious_10038",-0.538727592021599,0.487099016549506,-1.10599195177567,0.277520607020719
"mean_UHI_10038",0.262303825682851,0.430598827834279,0.609160566000895,0.54700387164824
"Mean_local_UHI_total38",-0.159184158701072,0.422780916752646,-0.376516896561358,0.70918259272376
"Mean_veg_height38",0.0266140033780638,0.383318808793477,0.0694304656268583,0.945107720218612
